Category ID,Category Label,Slug,Definition,Included Object Types,Record Count,Canonical Object Count,Public URL,Status,Notes
PKR-CAT-001,Catalogs and product literature,catalogs-product-literature,"Catalogs, model pages, component catalogs, manufacturer literature, and other structured product-reference material.",Catalog | Catalog claim | Catalog model list | Catalog model page | Component catalog | Manufacturer catalog | Manufacturer/distributor catalog page | Product catalog | Product literature,240,235,https://article134-tech.github.io/lititzbmx-public-knowledge-register/categories/catalogs-product-literature/,READY,Primary navigation category; exact Object Type remains preserved on every record.
PKR-CAT-002,Advertisements and price lists,advertisements-price-lists,"Period advertisements, retail offers, price-list material, and combined promotional price sheets.",Combined flyer / price-list set | Magazine advertisement | Retailer advertisement / price list,174,172,https://article134-tech.github.io/lititzbmx-public-knowledge-register/categories/advertisements-price-lists/,READY,Primary navigation category; exact Object Type remains preserved on every record.
PKR-CAT-003,"Mailers, stickers, and information packs",mailers-stickers-information-packs,"Mail-in offers, information packs, catalog mailers, sticker offers, and related fulfillment material.",Catalog mailer | Catalog mailer / advertisement | Dealer price-list / sticker offer | Information-pack mailer,85,83,https://article134-tech.github.io/lititzbmx-public-knowledge-register/categories/mailers-stickers-information-packs/,READY,Primary navigation category; exact Object Type remains preserved on every record.
PKR-CAT-004,Contests and promotions,contests-promotions,"Contest forms, prize promotions, naming contests, and other participation-based promotions.",Contest entry form | Contest entry form / promotion | Event prize promotion | Promotional announcement / naming contest,45,44,https://article134-tech.github.io/lititzbmx-public-knowledge-register/categories/contests-promotions/,READY,Primary navigation category; exact Object Type remains preserved on every record.
PKR-CAT-005,"Events, registration, and membership",events-registration-membership,"Event notices, registration and pre-entry material, membership forms, exhibition notices, and tour schedules.",Event entry / pre-registration advertisement | Event flyer / trade-exhibition notice | Event notice / contact flyer | Event registration coupon | Tour promotion / route notice,68,68,https://article134-tech.github.io/lititzbmx-public-knowledge-register/categories/events-registration-membership/,READY,Primary navigation category; exact Object Type remains preserved on every record.
PKR-CAT-006,"Teams, riders, and brand campaigns",teams-riders-brand-campaigns,"Factory-team history, rider-linked naming material, team advertisements, and coordinated brand campaigns.",Factory-team history | Rider/model naming history | Team advertisement | Team/product advertisement,59,59,https://article134-tech.github.io/lititzbmx-public-knowledge-register/categories/teams-riders-brand-campaigns/,READY,Primary navigation category; exact Object Type remains preserved on every record.
PKR-CAT-007,Dealers and distributors,dealers-distributors,"Dealer, shop, distributor, and mail-order business material whose primary role is commercial channel documentation.",Dealer advertisement / price-list lead | Dealer price list | Dealer/shop advertisement | Distributor price list,77,77,https://article134-tech.github.io/lititzbmx-public-knowledge-register/categories/dealers-distributors/,READY,Primary navigation category; exact Object Type remains preserved on every record.
PKR-CAT-008,Product announcements and technical material,product-announcements-technical-material,"New-product announcements, kits, specifications, prototype notices, and technical product introductions.",Product announcement / kit,58,58,https://article134-tech.github.io/lititzbmx-public-knowledge-register/categories/product-announcements-technical-material/,READY,Primary navigation category; exact Object Type remains preserved on every record.
PKR-CAT-009,Editorial tests and historical documentation,editorial-tests-historical-documentation,"Editorial tests, product-history records, archive collections, and retrospective documentation.",Archive collection | Model archive | Product-history object,204,204,https://article134-tech.github.io/lititzbmx-public-knowledge-register/categories/editorial-tests-historical-documentation/,READY,Primary navigation category; exact Object Type remains preserved on every record.
PKR-CAT-010,Other or unresolved ephemera,other-unresolved-ephemera,Temporary holding category for records that cannot yet be assigned to a defined primary navigation category.,None assigned,0,0,https://article134-tech.github.io/lititzbmx-public-knowledge-register/categories/other-unresolved-ephemera/,VERIFIED ZERO,Zero-state holding category; no current record required this assignment.
