Source ID,URL,Domain,Stages Used,Source Roles,Record References,Default Rights Treatment,Access Route,Preservation Priority,Notes
SRC-001,https://archive.harobikes.com/,archive.harobikes.com,v0.5 inherited,Existing public knowledge register,1,INDEX-ONLY,Public web/index/period archive; no technical bypass,MEDIUM,Ephemera object source
SRC-002,https://archive.harobikes.com/bmx,archive.harobikes.com,v0.7,Enthusiast catalog reconstruction; Independent period publication; Indexed enthusiast model registry; Official manufacturer archive,7,INDEX-ONLY,Public web/index/period archive; no technical bypass,HIGH,Ephemera object source
SRC-003,https://bmxmuseum.com/bikes/redline/,bmxmuseum.com,v0.5 inherited,Existing public knowledge register,1,INDEX-ONLY,Public web/index/period archive; no technical bypass,MEDIUM,Ephemera object source
SRC-004,https://bmxmuseum.com/reference/1911,bmxmuseum.com,v0.5 inherited,Existing public knowledge register,1,INDEX-ONLY,Public web/index/period archive; no technical bypass,MEDIUM,Ephemera object source
SRC-005,https://bmxmuseum.com/reference/5027,bmxmuseum.com,v0.5 inherited; v0.7,EXACT EXTERNAL DIRECT LINK; EXTERNAL TECHNICAL INTERPRETATION; Existing public knowledge register,4,INDEX-ONLY,Public web/index/period archive; no technical bypass,HIGH,Ephemera object source
SRC-006,https://edwardkoenning.blogspot.com/2012/09/,edwardkoenning.blogspot.com,v0.5 inherited,Existing public knowledge register,1,INDEX-ONLY,Public web/index/period archive; no technical bypass,MEDIUM,Ephemera object source
SRC-007,https://in.pinterest.com/pin/1011550766308215575/,in.pinterest.com,v0.5 inherited; v0.6,Existing public knowledge register; GT/Dyno sequence,2,INDEX-ONLY,Public web/index/period archive; no technical bypass,MEDIUM,Ephemera object source
SRC-008,https://jmcbmx.wordpress.com/2010/02/03/81-jmc-factory-team-advertisement/,jmcbmx.wordpress.com,v0.5 inherited,Existing public knowledge register,1,INDEX-ONLY,Public web/index/period archive; no technical bypass,MEDIUM,Ephemera object source
SRC-009,https://jmcbmx.wordpress.com/2010/02/03/april-1981-advertisement/,jmcbmx.wordpress.com,v0.5 inherited,Existing public knowledge register,1,INDEX-ONLY,Public web/index/period archive; no technical bypass,MEDIUM,Ephemera object source
SRC-010,https://jmcbmx.wordpress.com/2010/02/03/july-1979-advertisement/,jmcbmx.wordpress.com,v0.5 inherited,Existing public knowledge register,1,INDEX-ONLY / PERMISSION REQUIRED,Public web/index/period archive; no technical bypass,MEDIUM,Ephemera object source
