Claim ID,Claim Label,Displayed Value,Unit,Category,Counting Rule,Source Dataset,Publication Status,Limitations / Boundary,Zero-State Evidence,Detail URL,Correction URL,Recomputed Item Count,Reconciliation
PKR-CLM-001,Master source records,61,records,Core metric,Count every public Master ID in ephemera-register-v1.0.csv exactly once.,data/ephemera-register-v1.0.csv,READY,Source occurrences remain separate even when identity is merged at the canonical-object layer.,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-001/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-001,61,MATCH
PKR-CLM-002,Estimated canonical objects,51,objects,Core metric,Count 41 unique records plus one identity for each of 10 reviewed duplicate groups.,data/canonical-objects-v1.0.csv,REVIEWED ESTIMATE,Identity merges are reviewed estimates; source occurrences remain visible and may later be separated if new evidence requires it.,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-002/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-002,51,MATCH
PKR-CLM-003,Normalized price observations,38,observations,Core metric,Count every public Price Observation ID exactly once.,data/price-observations-v1.0.csv,READY,"Observations are source-specific and are not averaged, inflation-adjusted, or automatically treated as MSRP.",,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-003/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-003,38,MATCH
PKR-CLM-004,Registered source URLs,57,sources,Core metric,Count every stable Source ID in source-register-v1.0.csv exactly once.,data/source-register-v1.0.csv,READY,"A Source ID represents a registered URL, not necessarily one unique publication or one preserved capture.",,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-004/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-004,57,MATCH
PKR-CLM-005,Reviewed duplicate groups,10,groups,Core metric,Count each nonblank reviewed Duplicate Group once.,data/canonical-objects-v1.0.csv,REVIEWED,,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-005/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-005,10,MATCH
PKR-CLM-006,Open or unresolved records,20,records,Core metric,"Include a record when Research Status contains OPEN, unresolved, or Lead (case-insensitive).",data/ephemera-register-v1.0.csv,OPEN,"This is a workflow-status count, not a claim that all other records are complete.",,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-006/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-006,20,MATCH
PKR-CLM-007,Copied historical source scans,0,scans,Core metric,"Count copied historical catalog, flyer, advertisement, or BMXMuseum scan files embedded in the deployment package.",release-manifest.json,VERIFIED ZERO,The package contains an approved Lititz BMX brand asset and generated design screenshots; those are not historical source scans.,Release-manifest file-type review; asset-directory review; validation report content-boundary check.,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-007/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-007,0,MATCH
PKR-CLM-008,Flyer and promotional records,12,records,Core metric,Count records whose Source Stage equals v0.9.,data/ephemera-register-v1.0.csv,READY,"This sequence-defined set includes events, dealers, teams, contests, mailers, tours, and promotions; it is not a claim of completeness.",,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-008/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-008,12,MATCH
PKR-CLM-009,Chronology rows,61,rows,Core metric,Count every public Chronology ID exactly once.,data/chronology-v1.0.csv,READY,Provisional and undated placements remain visible and are not converted into exact dates.,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-009/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-009,61,MATCH
PKR-CLM-010,Exact BMXMuseum reference IDs,2,unique IDs,Core metric,Count unique nonblank Exact Reference ID values.,data/ephemera-register-v1.0.csv,READY,Three source records carry two unique reference IDs; title-only or inferred IDs are excluded.,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-010/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-010,2,MATCH
