Master ID,Source Stage,Original ID,Object Type,Title,Start Year,End Year,Date Text,Brand / Promoter,Primary Subject,Geography,BMXMuseum Status,Exact Reference ID,Source Role,Evidence / Limitation,Confidence,Rights Code,Research Status,Primary Source URL,Secondary Source URL,Normalized Duplicate Key,Duplicate Group,Canonical Action,Notes,Accessed
EPH-0001,v0.5 inherited,BM-AD-0001,Catalog,1996 GT/Dyno — The BMX & Freestyle Catalog,1996,1996,1996,GT; Dyno,"Model lineup, colors, component specifications, team imagery and brand positioning for 1996.",Unresolved / varies,Reference title exposed; exact ID unresolved,,Existing public knowledge register,Public indexing exposes the title and BMXMuseum provenance but not a reliable reference ID or complete page set.,MEDIUM,INDEX-ONLY,Lead — locate exact reference ID and edition/page count.,https://www.pinterest.com/pin/bmxmuseumcom-reference-1996-gtdyno-the-bmx-freestyle-catalog--491877590560035755/,,gt dyno|1996 gt dyno the bmx freestyle catalog|1996,DUP-GTD-1996,MERGE identity; preserve source occurrence,Image: Do not copy scans. Text: Paraphrase bibliographic facts only.,2026-07-30
EPH-0002,v0.5 inherited,BM-AD-0002,Catalog,1992 GT/Dyno Product Catalog,1992,1992,1992,GT; Dyno,"Model-year lineup, specifications and GT/Dyno brand relationship.",Unresolved / varies,Reference title exposed; exact ID unresolved,,Existing public knowledge register,Title is publicly indexed; exact reference ID and completeness remain unresolved.,MEDIUM,INDEX-ONLY,Lead — locate exact reference and compare with independent catalog archives.,https://in.pinterest.com/pin/1011550766308215575/,,gt dyno|1992 gt dyno product catalog|1992,DUP-GTD-1992,MERGE identity; preserve source occurrence,Image: Do not copy scans. Text: Paraphrase bibliographic facts only.,2026-07-30
EPH-0003,v0.5 inherited,BM-AD-0003,Catalog,1999 GT/Dyno BMX/Freestyle — Part 2,1999,1999,1999,GT; Dyno,"Late-1990s model lineup, parts and visual branding.",Unresolved / varies,Reference title exposed; exact ID unresolved,,Existing public knowledge register,Only the indexed title is presently recoverable.,LOW-MEDIUM,INDEX-ONLY,"Lead — locate part 1, exact reference IDs and page ranges.",https://www.pinterest.com/pin/bmxmuseumcom-reference-1999-gtdyno-bmxfreestyle-part-2-in-2025--798192733998105769/,,gt dyno|1999 gt dyno bmx freestyle part 2|1999,DUP-GTD-1999-P2,MERGE identity; preserve source occurrence,Image: Do not copy scans. Text: Paraphrase bibliographic facts only.,2026-07-30
EPH-0004,v0.5 inherited,BM-AD-0004,Catalog,1990 Haro BMX Catalog,1990,1990,1990,Haro,"Haro's 1990 models, specifications, colors and marketing.",Unresolved / varies,Reference title exposed; exact ID unresolved,,Existing public knowledge register,Haro's official BMX archive independently lists a 1990 PDF catalog. The BMXMuseum reference ID and document completeness remain unresolved.,LOW-MEDIUM,INDEX-ONLY,Verified catalog existence — recover exact BMXMuseum ID and compare editions/pages.,https://storage.googleapis.com/dioyjtkukhpqse/haro-bmx-catalog.html,https://archive.harobikes.com/,haro|1990 haro bmx catalog|1990,DUP-HARO-1990-CAT,MERGE identity; preserve source occurrence,Image: Do not copy scans. Text: Paraphrase bibliographic facts only.,2026-07-30
EPH-0005,v0.5 inherited,BM-AD-0005,Product literature,1987 Dia-Compe 182 Aerial Brake Lever,1987,1987,1987,Dia-Compe,"Product name, year, design and marketing context.",Unresolved / varies,Reference title exposed; exact ID unresolved,,Existing public knowledge register,"Indexed title only; the object may be a catalog page, advertisement or product reference.",MEDIUM,INDEX-ONLY,"Lead — identify publication, page and exact BMXMuseum reference.",https://www.pinterest.com/pin/bmxmuseumcom-reference-1987-diacompe-182-aerial-brake-lever--731623901972849898/,,dia compe|1987 dia compe 182 aerial brake lever|1987,,RETAIN — unique source record,Image: Do not copy image. Text: Paraphrase bibliographic facts only.,2026-07-30
EPH-0006,v0.5 inherited,BM-AD-0006,Catalog,Ashtabula component catalog,1977,1977,circa 1977 (unverified),Ashtabula,"Fork sizes, steerer dimensions and product range across wheel sizes.",Unresolved / varies,Reference 5027,5027,Existing public knowledge register,Two independent technical discussions cite the exact BMXMuseum reference 5027 and describe catalog fork data. The edition date remains approximate.,HIGH for object; MEDIUM for date,INDEX-ONLY,Exact reference recovered — inspect edition/page structure only through permitted access.,https://bmxmuseum.com/reference/5027,https://thecabe.com/forum/threads/ashtabula-fork-identification-help.253603/,ashtabula|ashtabula component catalog|1977,DUP-ASHT-5027,MERGE identity; preserve source occurrence,Image: Do not copy scans. Text: Paraphrase factual specifications with attribution.,2026-07-30
EPH-0007,v0.5 inherited,BM-AD-0007,Catalog,1997 Hoffman catalog — George model specification,1997,1997,1997,Hoffman Bikes,"Model name, geometry/specification and model-year existence.",Unresolved / varies,Reference 1911,1911,Existing public knowledge register,An external forum cites the exact BMXMuseum reference for the Hoffman George. The full catalog title and edition need confirmation.,HIGH for reference existence; MEDIUM for interpreted model data,INDEX-ONLY,Open — record exact page and compare with other Hoffman catalogs.,https://bmxmuseum.com/reference/1911,https://www.radbmx.co.uk/forum/index.php?topic=181254.0,hoffman bikes|1997 hoffman catalog george model specification|1997,,RETAIN — unique source record,Image: Do not copy scans. Text: Paraphrase specifications with citation.,2026-07-30
EPH-0008,v0.5 inherited,BM-AD-0008,Magazine advertisement,Tioga Rhino III frame advertisement,1983,1983,1983 lead,Tioga; Tange,"Product launch timing, construction claims, branding and period pricing if present.",Unresolved / varies,Forum object unresolved,,Existing public knowledge register,An external old-school BMX advertisement blog links to an unresolved BMXMuseum forum discussion. The original ad and publication must be identified.,LOW-MEDIUM,INDEX-ONLY,"Lead — recover exact thread, magazine issue and page.",https://edwardkoenning.blogspot.com/2012/09/,,tioga tange|tioga rhino iii frame advertisement|1983,,RETAIN — unique source record,Image: Do not copy image. Text: Paraphrase bibliographic facts only.,2026-07-30
EPH-0009,v0.5 inherited,BM-AD-0009,Magazine advertisement,First Torker advertisement in BMX Weekly,1976,1976,December 1976,Torker,"Earliest public brand marketing, product terminology and launch chronology.",Unresolved / varies,BMXMuseum production-record ecosystem,,Existing public knowledge register,Current official Torker history states the first ad date; the actual BMXMuseum object and magazine page remain to be located.,MEDIUM-HIGH,INDEX-ONLY,Priority — locate the period issue and ad image lawfully.,https://torkerracing.com/pages/the-fullerton-era-torker-bmx-history,,torker|first torker advertisement in bmx weekly|1976,DUP-TORKER-FIRST-AD,MERGE identity; preserve source occurrence,Image: Do not copy without rights review. Text: Paraphrase date/title claims with attribution.,2026-07-30
EPH-0010,v0.5 inherited,BM-AD-0010,Magazine advertisement,First Red Line magazine advertisement featuring John Palfreyman,1970,1970,1970s; exact issue pending,Red Line; John Palfreyman,"Early Red Line rider endorsement, product testing and brand chronology.",Unresolved / varies,Redline brand gallery ecosystem,,Existing public knowledge register,USA BMX officially states Palfreyman appeared in the first Red Line magazine ad; exact publication/date/page still need recovery.,HIGH for relationship; MEDIUM for bibliographic detail,INDEX-ONLY,"Priority — identify magazine, issue, page and product shown.",https://bmxmuseum.com/bikes/redline/,https://www.usabmx.com/news-and-media/6/2012-05-10/National-BMX-Hall-of-Fame-2012-Inductees-Announced?id=580,red line john palfreyman|first red line magazine advertisement featuring john palfreyman|1970,DUP-REDLINE-FIRST-AD,MERGE identity; preserve source occurrence,Image: Do not copy without rights review. Text: Paraphrase bibliographic facts only.,2026-07-30
EPH-0011,v0.5 inherited,BM-AD-0011,Combined flyer / price-list set,JMC Racing Fliers and Price List,,,Undated,JMC Racing,"JMC product range, dealer-facing terminology, period marketing and historical prices if readable.",Unresolved / varies,Reference title exposed; exact ID unresolved,,Existing public knowledge register,"A public index explicitly identifies a BMXMuseum JMC flyer-and-price-list set. Exact reference ID, date, page count and individual prices are not exposed.",MEDIUM,INDEX-ONLY,"Priority — locate exact reference ID, count pages and transcribe only clearly labeled factual price fields.",https://www.pinterest.com/pin/jmc-bmx-fliers-and-price-list--442478732119429034/,https://www.facebook.com/groups/553888658024748/posts/27080185384968381/,jmc racing|jmc racing fliers and price list|,,RETAIN — unique source record,Image: Do not copy scans. Text: Paraphrase bibliographic and price facts only.,2026-07-30
