Claim ID,Claim Label,Displayed Value,Unit,Category,Counting Rule,Source Dataset,Publication Status,Limitations / Boundary,Zero-State Evidence,Detail URL,Correction URL,Recomputed Item Count,Reconciliation
PKR-CLM-001,Master source records,1010,records,Core metric,Count every public Master ID in ephemera-register-v2.0.0.csv exactly once.,data/ephemera-register-v2.0.0.csv,READY,Source occurrences remain separate even when identity is merged at the canonical-object layer.,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-001/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-001,1010,MATCH
PKR-CLM-002,Estimated canonical objects,1000,objects,Core metric,Count 990 unique records plus one identity for each of 10 reviewed duplicate groups.,data/canonical-objects-v2.0.0.csv,REVIEWED ESTIMATE,Identity merges remain reviewed estimates; source occurrences remain visible. Recurring campaign and publication-feature candidates remain separate pending page-image comparison.,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-002/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-002,1000,MATCH
PKR-CLM-003,Normalized price observations,717,observations,Core metric,Count every public Price Observation ID exactly once.,data/price-observations-v2.0.0.csv,READY,"Observations are source-specific and are not averaged, inflation-adjusted, or automatically treated as MSRP.",,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-003/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-003,717,MATCH
PKR-CLM-004,Registered source URLs,73,sources,Core metric,Count every stable Source ID in source-register-v2.0.0.csv exactly once.,data/source-register-v2.0.0.csv,READY,"A Source ID represents a registered URL, not necessarily one unique publication or one preserved capture.",,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-004/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-004,73,MATCH
PKR-CLM-005,Reviewed duplicate groups,10,groups,Core metric,Count each nonblank reviewed Duplicate Group once.,data/canonical-objects-v2.0.0.csv,REVIEWED,,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-005/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-005,10,MATCH
PKR-CLM-006,Open or unresolved records,28,records,Core metric,"Include a record when Research Status contains OPEN, unresolved, or Lead (case-insensitive).",data/ephemera-register-v2.0.0.csv,OPEN,"This is a workflow-status count, not a claim that all other records are complete.",,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-006/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-006,28,MATCH
PKR-CLM-007,Copied historical source scans,0,scans,Core metric,"Count copied historical catalog, flyer, advertisement, or BMXMuseum scan files embedded in the deployment package.",release-manifest.json,VERIFIED ZERO,The package contains an approved Lititz BMX brand asset and generated design screenshots; those are not historical source scans.,Release-manifest file-type review; asset-directory review; validation report content-boundary check.,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-007/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-007,0,MATCH
PKR-CLM-008,Flyer and promotional records,12,records,Core metric,Count records whose Source Stage equals v0.9.,data/ephemera-register-v2.0.0.csv,READY,"This sequence-defined set includes events, dealers, teams, contests, mailers, tours, and promotions; it is not a claim of completeness.",,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-008/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-008,12,MATCH
PKR-CLM-009,Chronology rows,1010,rows,Core metric,Count every public Chronology ID exactly once.,data/chronology-v2.0.0.csv,READY,Provisional and undated placements remain visible and are not converted into exact dates.,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-009/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-009,1010,MATCH
PKR-CLM-010,Exact BMXMuseum reference IDs,2,unique IDs,Core metric,Count unique nonblank Exact Reference ID values.,data/ephemera-register-v2.0.0.csv,READY,Three source records carry two unique reference IDs; title-only or inferred IDs are excluded.,,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-010/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-010,2,MATCH
PKR-CLM-011,Personal street addresses retained,0,addresses,Core metric,Count intentionally stored personal street addresses in the new public flyer/promotional record set.,data/ephemera-register-v2.0.0.csv,VERIFIED ZERO,Public business or venue locations may remain when historically necessary; this claim concerns unnecessary personal street addresses.,EPH-0057 explicitly records that the period personal street address was intentionally not stored; public-field scan completed.,https://article134-tech.github.io/lititzbmx-public-knowledge-register/claims/PKR-CLM-011/,https://github.com/Article134-tech/lititzbmx-public-knowledge-register/issues/new?template=record-correction.yml&title=Claim%20correction%3A%20PKR-CLM-011,0,MATCH
